Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,"VORP
▼",Awards
214,Jake LaRavia,24,LAL,PF,22,7,562,12,0.565,0.411,0.272,5.6,12.6,9.2,9.8,2.4,1.2,11.9,15.5,0.4,0.5,0.9,0.078,-1.4,-0.1,-1.5,0.1,
215,Dereck Lively II,21,DAL,C,7,4,115,15,0.67,0,0.556,12.9,20.8,16.9,15.5,1.6,7.9,30.9,11.9,0.1,0.2,0.3,0.142,-3.6,3.8,0.3,0.1,
216,Xavier Tillman Sr.,27,BOS,C,11,1,103,13.5,0.554,0.464,0,10.7,15,12.8,6.3,2.9,2,12.5,13.4,0.1,0.1,0.2,0.109,-0.7,1.1,0.4,0.1,
217,Javonte Green,32,DET,SG,23,3,427,10.7,0.549,0.504,0.339,4.2,12.1,8.2,6,2.3,2.3,11.4,14.3,0.2,0.6,0.8,0.093,-2.4,1,-1.4,0.1,
218,VJ Edgecombe,20,PHI,SG,19,19,654,12.1,0.512,0.395,0.161,5.7,12.5,9.1,16.9,1.9,1.3,11.6,19.3,0.2,0.7,0.9,0.064,-1.8,0.1,-1.7,0.1,
219,Thanasis Antetokounmpo,33,MIL,SF,8,0,19,29.3,0.87,0,0.6,6.1,6,6,0,5.1,15.2,0,14.6,0.1,0,0.1,0.355,3.3,8.1,11.4,0.1,
220,Emanuel Miller,25,CHI,PF,4,0,29,18.4,0.631,0.455,0.182,0,7,3.6,20.5,3.2,0,0,17,0.1,0,0.1,0.17,3.4,2.8,6.3,0.1,
221,Day'Ron Sharpe,24,BRK,C,21,0,337,16.4,0.618,0.207,0.644,14.2,25.9,19.7,16.9,2.5,3,25.4,19.1,0.1,0.4,0.5,0.073,-2.1,0.8,-1.3,0.1,
222,Domantas Sabonis,29,SAC,C,11,11,365,17.4,0.564,0.138,0.352,10.9,31.1,20.6,17.1,1.7,0.5,14.3,22.8,0.2,0.3,0.6,0.073,-0.8,-0.6,-1.4,0.1,
223,Mason Plumlee,35,CHO,C,9,1,72,13.4,0.817,0,2.25,9.6,26.5,18.2,16.2,2,0,38.6,7.5,0.1,0.1,0.2,0.108,-0.6,1.7,1.1,0.1,
224,Riley Minix,25,SAS,SF,3,0,8,45.7,0.75,0.5,0,14.2,13.8,14,32.8,6,0,0,31.8,0.1,0,0.1,0.417,18,7.1,25.1,0.1,
225,Seth Curry,35,GSW,SG,2,0,32,18.8,0.778,0.444,0,3.4,10.4,6.8,14.9,3,0,0,11.9,0.1,0,0.2,0.227,1.2,3.7,4.9,0.1,
226,Shaedon Sharpe,22,POR,SG,19,14,541,15.9,0.529,0.349,0.299,4.4,14.5,9.2,13.9,2.3,0.7,11.8,31.9,-0.1,0.5,0.3,0.03,-0.3,-1.3,-1.6,0.1,
227,Jase Richardson,20,ORL,SG,13,0,87,14.9,0.627,0.393,0.25,3.8,11.5,7.7,21.2,1.1,0,11.4,16.8,0.2,0.1,0.3,0.152,0.4,0.2,0.5,0.1,
228,Collin Murray-Boyles,20,TOR,PF,19,4,342,13.3,0.635,0.258,0.309,10.6,9.7,10.2,9.5,1.8,1.7,17.3,16.5,0.4,0.4,0.8,0.106,-1.2,-0.1,-1.3,0.1,
229,Andrew Nembhard,26,IND,PG,15,15,464,14.9,0.56,0.389,0.374,1.1,6,3.4,32.2,1.3,0.6,13.2,23.8,0.5,0.2,0.7,0.071,0.8,-2.4,-1.6,0.1,
230,JD Davison,23,HOU,PG,10,0,65,12,0.592,0.5,0.125,0,5,2.6,15.7,2.3,1.5,5.6,11.3,0.1,0.1,0.2,0.145,-1,2.1,1.2,0.1,
231,Corey Kispert,26,WAS,SF,17,2,338,14.1,0.657,0.65,0.282,1.9,11.2,6.5,12.2,1.1,0.8,8.7,15.7,0.6,-0.1,0.5,0.075,0.6,-2,-1.4,0,
232,Isaiah Jackson,24,IND,C,23,14,437,16.9,0.661,0,0.462,12.6,18.8,15.5,7.1,2,3.5,16.1,16,0.7,0.5,1.3,0.14,-1.9,0.3,-1.7,0,
233,Brooks Barnhizer,23,OKC,SG,16,0,120,10.6,0.56,0.143,0.238,5.9,22.5,14.8,7.2,1.2,1.7,7.9,9.1,0.1,0.3,0.4,0.152,-2.3,1.7,-0.5,0,
234,Ja'Kobe Walter,21,TOR,SG,21,6,352,9.7,0.559,0.642,0.168,5.8,8.8,7.3,6.2,3.1,0.8,12.8,14.1,0.1,0.5,0.6,0.077,-2.9,1.4,-1.5,0,
235,Tyler Kolek,24,NYK,PG,18,0,183,11.8,0.527,0.492,0.131,2.9,7.6,5.2,25.2,2.1,0.6,14.6,17.2,0.2,0.2,0.3,0.09,-1.5,0.5,-1,0,
236,Nick Smith Jr.,21,LAL,SG,9,0,133,14,0.597,0.518,0.107,0.9,7.8,4.5,15.5,2.5,1.5,15.8,22.7,0,0.1,0.1,0.044,0.4,-1,-0.6,0,
237,Trae Young,27,ATL,PG,5,5,139,16.7,0.511,0.371,0.557,0,7.9,4,39.9,1.4,0.7,10.3,29.6,0.1,0.1,0.3,0.088,0.8,-1.6,-0.7,0,
238,Danny Wolf,21,BRK,PF,8,0,123,14.9,0.625,0.556,0.311,5.3,25,14.5,18.5,0,0.8,16.4,21.4,0.2,0,0.2,0.072,0.6,-1.3,-0.7,0,
239,Kyle Filipowski,22,UTA,C,21,6,462,13.5,0.559,0.401,0.367,8.8,22.1,15.4,16.1,1,2.3,13.2,17.4,0.5,0.2,0.7,0.074,-1.3,-0.4,-1.7,0,
